id	accountId	projectId	experimentId	visitorId	campaignId	timestamp	sessionId	eventId	count	revenue	value	variationId	segments	receivedTimestamp
10053023332--545029814-575106044-10190812972-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	10190812972	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
10053023332--545029814-575106044-8516763185-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	8516763185	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
10053023332--545029814-575106044-8327153509-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	8327153509	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
10053023332--545029814-575106044-7955850473-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	7955850473	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
10053023332--545029814-575106044-7804002703-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	7804002703	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
10053023332--545029814-575106044--2-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	8516763185	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
10053023332--545029814-575106044-8478681105-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	8478681105	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
10053023332--545029814-575106044-8249790256-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	8249790256	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
10053023332--545029814-575106044-4768312234-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	4768312234	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
10053023332--545029814-575106044-7859580200-1521562551001	5935064	4391536040	10053023332	oeu1521562549497r0.8184922041596667	7660420075	1521562551001	-1683156290	7859580200	1	0	0	10086581227	"WrappedArray([7973492630	Other]	 [700	desktop_laptop]	 [100	gc]	 [800	true]	 [801	true]	 [8367901633	everything]	 [500	https://www.google.co.uk/]	 [600	search]	 [300	desktop])"	1554895263639
